,id,player_name,team_name,primary_color,secondary_color,badge_url,rating,goals,goalsAssistsSum,accuratePasses,inaccuratePasses,totalPasses,accuratePassesPercentage,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,shotsOffTarget,aerialDuelsWon,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,shotFromSetPiece,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToShot,wasFouled,fouls,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,crossesNotClaimed,matchesStarted,penaltyConversion,totalCross,duelLost,aerialLost,attemptPenaltyMiss,totalLongBalls,goalsConceded,scoringFrequency,yellowRedCards,substitutionsIn,substitutionsOut,goalKicks,ballRecovery,appearances
0,929488,Hugo Borges,Madureira,#002570,#ffcd00,https://api.sofascore.com/api/v1/team/6980/image,7.35,1.0,3.0,147.0,61.0,208.0,70.67,15.0,10.0,14.0,70.0,24.0,2.0,0.0,0.0,6.0,46.15,30.0,11.0,19.0,6.0,50.0,46.0,37.7,662.0,3.333,1.0,1.0,2.0,12.0,57.14,6.0,4.0,12.0,4.0,14.0,1.0,0.0,2.0,0.0,0.0,0.0,8.0,100.0,13.0,76.0,6.0,0.0,21.0,0.0,662.0,0.0,8.0,0.0,0.0,35.0,8.0
0,926826,Mota,Madureira,#002570,#ffcd00,https://api.sofascore.com/api/v1/team/6980/image,7.3375,0.0,0.0,91.0,24.0,115.0,79.13,1.0,0.0,1.0,100.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,100.0,5.0,100.0,830.0,0.0,0.0,0.0,0.0,21.0,53.85,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,39.0,7.0,830.0,0.0,0.0,0.0,89.0,27.0,8.0
0,851501,Pablo Pardal,Madureira,#002570,#ffcd00,https://api.sofascore.com/api/v1/team/6980/image,7.225,1.0,2.0,234.0,37.0,271.0,86.35,31.0,18.0,6.0,50.0,13.0,1.0,0.0,0.0,7.0,46.67,8.0,4.0,4.0,2.0,25.0,37.0,31.9,693.0,12.5,0.0,0.0,0.0,6.0,54.55,3.0,2.0,9.0,12.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,15.0,79.0,6.0,0.0,11.0,0.0,693.0,0.0,7.0,0.0,0.0,33.0,8.0
0,981606,Arthur Edeson,Madureira,#002570,#ffcd00,https://api.sofascore.com/api/v1/team/6980/image,7.175,0.0,0.0,276.0,42.0,318.0,86.79,14.0,1.0,2.0,100.0,55.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,44.0,65.67,72.0,46.15,830.0,0.0,0.0,0.0,0.0,22.0,62.86,41.0,12.0,5.0,9.0,34.0,0.0,15.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,84.0,23.0,0.0,35.0,0.0,830.0,0.0,0.0,0.0,0.0,106.0,8.0
0,868855,Marcão,Madureira,#002570,#ffcd00,https://api.sofascore.com/api/v1/team/6980/image,7.125,1.0,1.0,287.0,37.0,324.0,88.58,16.0,1.0,1.0,100.0,49.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,16.0,47.06,37.0,43.02,801.0,100.0,0.0,0.0,0.0,25.0,62.5,20.0,5.0,6.0,5.0,19.0,0.0,9.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,49.0,18.0,0.0,40.0,0.0,801.0,0.0,1.0,0.0,0.0,78.0,8.0
0,795031,Evandro,Madureira,#002570,#ffcd00,https://api.sofascore.com/api/v1/team/6980/image,7.1142857142857,0.0,2.0,284.0,69.0,353.0,80.45,23.0,9.0,21.0,75.0,33.0,3.0,0.0,0.0,14.0,42.42,8.0,1.0,7.0,3.0,33.33,44.0,32.35,723.0,0.0,0.0,0.0,2.0,13.0,50.0,14.0,4.0,4.0,18.0,32.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,33.0,92.0,6.0,0.0,26.0,0.0,723.0,0.0,0.0,0.0,0.0,74.0,7.0
0,1589944,Gustavo Coutinho Costa,Madureira,#002570,#ffcd00,https://api.sofascore.com/api/v1/team/6980/image,7.1,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,50.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,1.0
0,866393,Arthur Santos,Madureira,#002570,#ffcd00,https://api.sofascore.com/api/v1/team/6980/image,7.0571428571429,0.0,0.0,418.0,32.0,450.0,92.89,61.0,6.0,14.0,82.35,15.0,3.0,0.0,0.0,1.0,50.0,6.0,1.0,5.0,1.0,33.33,57.0,43.18,699.0,0.0,0.0,0.0,0.0,21.0,67.74,0.0,2.0,22.0,16.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,75.0,2.0,0.0,31.0,0.0,699.0,0.0,2.0,0.0,0.0,52.0,7.0
0,1017698,Robert,Madureira,#002570,#ffcd00,https://api.sofascore.com/api/v1/team/6980/image,7.0,0.0,0.0,18.0,1.0,19.0,94.74,1.0,1.0,6.0,85.71,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,8.0,72.73,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,2.0,0.0,0.0,2.0
0,1105972,Juninho,Madureira,#002570,#ffcd00,https://api.sofascore.com/api/v1/team/6980/image,6.95,0.0,0.0,18.0,6.0,24.0,0.0,2.0,3.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,57.14,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,41.0,0.0,0.0,2.0,0.0,2.0,2.0
