,name,position,primary_color,secondary_color,badge_url,avatar_url,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,shotOffTarget,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,totalTackle,errorLeadToAShot,ownGoals,wasFouled,fouls,totalOffside,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,totalOffside,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,keyPass,expectedAssists,groundWon
0,Gatito Fernández,G,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/840027/image,8.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,90.0,8.0,7.9,2.0,0.0,0.0,0.0,1.0
1,Danilo Barbosa,D,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/330063/image,66.0,57.0,9.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,10.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,88.0,7.5,9.0,0.0,0.0,0.0,6.0
2,Lucas Halter,D,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/905450/image,42.0,37.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,8.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,50.0,7.4,7.0,0.0,0.0,0.0,3.0
3,Alexander Barboza,D,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/801044/image,69.0,61.0,11.0,7.0,0.0,2.0,1.0,1.0,3.0,13.0,9.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,81.0,7.3,7.0,0.08,1.0,0.09,6.0
4,Victor Sá,M,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/799634/image,29.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,65.0,40.0,6.9,4.0,0.06,2.0,0.1,1.0
5,Marlon Freitas,M,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/840202/image,55.0,47.0,5.0,4.0,0.0,1.0,1.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,67.0,7.5,5.0,0.19,0.0,0.0,1.0
6,Tchê Tchê,M,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/840398/image,67.0,64.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,90.0,83.0,7.3,4.0,0.01,1.0,0.0,7.0
7,Hugo,M,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/1018915/image,31.0,28.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,8.0,6.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,36.0,7.7,1.0,0.0,6.0,0.72,5.0
8,Eduardo,F,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/76507/image,56.0,46.0,3.0,1.0,0.0,1.0,0.0,2.0,4.0,7.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,67.0,7.5,12.0,0.22,2.0,0.13,3.0
9,Tiquinho Soares,F,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/789100/image,16.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,10.0,7.0,0.0,1.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,31.0,7.6,5.0,0.39,3.0,0.41,4.0
10,Jeffinho,F,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/1016948/image,24.0,20.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,10.0,7.0,1.0,0.0,6.0,5.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,37.0,8.0,8.0,0.85,1.0,0.15,7.0
11,Júnior Santos,M,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/922559/image,10.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,7.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,6.7,4.0,0.0,0.0,0.0,7.0
12,Janderson,F,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/1462989/image,13.0,11.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,16.0,3.0,0.0,1.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,27.0,6.6,6.0,0.05,0.0,0.0,3.0
13,Matías Segovia,F,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/988622/image,6.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,8.0,1.0,1.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,19.0,7.0,3.0,0.02,0.0,0.0,8.0
14,Newton Junior,M,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/1065370/image,8.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,6.2,3.0,0.0,0.0,0.0,1.0
15,Marçal,M,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/143593/image,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,6.6,1.0,0.0,0.0,0.0,1.0
16,Igo Gabriel,G,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/981701/image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Bastos,D,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/215956/image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Diego Hernández,M,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/1086482/image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Jacob Montes,M,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/1009787/image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Kaué Rodrigues Pessanha,M,#ffffff,#000000,https://api.sofascore.com/api/v1/team/1958/image,https://api.sofascore.com/api/v1/player/1609566/image,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
