,name,position,aerial_won,ground_won,clearences,interceptions
0,Anderson Max,G,0,0,0,1
1,Arlen,D,0,3,0,0
2,Igor,D,1,2,1,1
3,João Victor de Sousa Cabral,D,0,1,0,2
4,Paulo Victor,D,2,3,0,1
5,Diego Miticov,M,0,3,0,1
6,Romarinho,M,0,8,1,0
7,Victor Gualberto Araujo,M,0,3,0,1
8,Gerson Júnior,M,0,8,0,1
9,Patrick,F,0,19,0,1
10,Ítalo,F,0,2,1,1
11,Matheus da Silva Barbosa,D,1,8,2,0
12,Edilson,M,1,8,0,0
13,Clisman,M,0,7,0,0
14,Pablo Alves,F,0,0,0,0
15,Jackson Caucaia,M,0,0,0,0
16,Leandro Naziozeno,G,0,0,0,0
17,Lucas Gomes da Silva,G,0,0,0,0
18,Acacio,D,0,0,0,0
19,Matheus Claudino,M,0,0,0,0
20,Raian Faria Lourenço,M,0,0,0,0
21,Tavinho,M,0,0,0,0
22,João Cabral,F,0,0,0,0
